,cityname,cloudiness,country,date_time,humidity,latitude,longtitude,temp,windspeed
75,Bredasdorp,88,ZA,9/8/17 22:00,93,-34.53,20.04,48.2,3.36
76,Buarcos,92,PT,9/8/17 22:54,97,40.17,-8.88,63.68,12.24
77,Bubaque,75,GW,9/8/17 22:00,94,11.28,-15.83,71.6,13.87
78,Buchanan,92,LR,9/8/17 22:54,100,5.88,-10.05,74.03,4.41
79,Bujaru,0,BR,9/8/17 22:00,88,-1.51,-48.04,77,9.17
80,Busselton,0,AU,9/8/17 22:54,88,-33.65,115.33,64.31,9.22
81,Caluquembe,0,AO,9/8/17 22:54,44,-13.78,14.68,55.94,4.29
82,Camapua,44,BR,9/8/17 22:54,43,-19.53,-54.04,69.62,7.43
83,Camopi,0,GF,9/8/17 22:54,70,3.17,-52.32,77.99,3.96
84,Cancun,20,MX,9/8/17 21:42,100,21.17,-86.85,77,3.36
85,Cap Malheureux,20,MU,9/8/17 22:00,64,-19.98,57.61,75.2,17.22
86,Cape Town,40,ZA,9/8/17 22:00,93,-33.93,18.42,55.4,9.17
87,Caravelas,36,BR,9/8/17 22:54,100,-17.71,-39.25,73.76,17.05
88,Carnarvon,0,AU,9/8/17 22:54,82,-24.87,113.63,70.61,7.43
89,Carutapera,0,BR,9/8/17 22:54,89,-1.2,-46.02,78.44,7.76
90,Castro,48,BR,9/8/17 22:52,80,-24.79,-50.01,54.05,3.85
91,Castro Alves,68,BR,9/8/17 22:54,94,-12.77,-39.43,67.73,5.75
92,Cayenne,0,GF,9/8/17 22:30,94,4.93,-52.33,75.2,7.65
93,Chah Bahar,8,IR,9/8/17 22:54,99,25.29,60.64,83.21,5.53
94,Chake Chake,92,TZ,9/8/17 22:54,98,-5.25,39.77,77,14.14
95,Chalus,90,IR,9/8/17 22:00,100,36.66,51.42,71.6,4.7
96,Changji,0,CN,9/8/17 22:30,31,44.02,87.32,78.8,11.18
97,Chapais,1,CA,9/8/17 22:00,86,49.78,-74.85,41,3.36
98,Charneca de Caparica,75,PT,9/8/17 22:00,88,38.6,-9.18,64.4,9.17
99,Chatrapur,32,IN,9/8/17 22:54,98,19.35,84.98,87.08,13.13
100,Chegem,0,RU,9/8/17 22:30,49,43.28,43.13,69.8,1.72
101,Chuy,92,UY,9/8/17 22:52,96,-33.7,-53.46,60.8,6.76
102,Cidreira,76,BR,9/8/17 22:54,93,-30.18,-50.21,63.68,5.75
103,Clarksburg,90,US,9/8/17 22:35,100,39.28,-80.34,55.4,2.73
104,Clyde River,90,CA,9/8/17 22:00,100,70.47,-68.59,37.4,28.86
105,Cockburn Town,20,TC,9/8/17 22:54,100,21.46,-71.14,84.74,25.55
106,Codrington,48,AU,9/8/17 22:54,93,-38.27,141.97,54.23,10.78
107,Coihaique,40,CL,9/8/17 22:30,78,-45.58,-72.07,32,6.93
108,Colares,75,PT,9/8/17 22:00,88,38.8,-9.45,64.4,9.17
109,Comodoro Rivadavia,75,AR,9/8/17 22:00,86,-45.87,-67.5,39.2,9.17
110,Coquimbo,75,CL,9/8/17 22:00,81,-29.95,-71.34,51.8,2.24
111,Cordoba,90,AR,9/8/17 22:16,93,-31.41,-64.18,57.2,1.12
112,Corinto,0,BR,9/8/17 22:54,81,-18.38,-44.46,61.16,7.31
113,Cristalina,0,BR,9/8/17 22:54,44,-16.77,-47.61,58.55,8.43
114,Dakar,20,SN,9/8/17 22:00,88,14.69,-17.44,80.6,6.93
115,Dalvik,0,IS,9/8/17 22:00,100,65.97,-18.53,41,1.95
116,Dekar,0,BW,9/8/17 22:54,35,-21.53,21.93,62.51,7.09
117,Delvada,0,IN,9/8/17 22:54,52,20.77,71.03,92.93,6.64
118,Darling,68,NP,9/8/17 22:54,73,28.28,83.59,74.3,1.61
119,Dikson,20,RU,9/8/17 22:54,100,73.51,80.55,37.58,20.96
120,Dingle,80,PH,9/8/17 22:54,100,11,122.67,78.08,3.4
121,Divala,92,PA,9/8/17 22:54,100,8.42,-82.72,73.85,3.18
122,Doha,0,QA,9/8/17 22:00,53,25.29,51.53,98.6,3.36
123,Dovers,8,VC,9/8/17 22:54,100,12.88,-61.18,83.57,8.55
124,Dulce Nombre de Culmi,40,HN,9/8/17 22:00,83,15.1,-85.53,75.2,2.06
125,Dunda,0,TZ,9/8/17 22:54,57,-8.12,34.25,68.81,6.76
126,East London,75,ZA,9/8/17 22:00,82,-33.02,27.91,60.8,6.93
127,Edd,44,ER,9/8/17 22:54,53,13.93,41.69,90.23,1.61
128,El Tambo,92,CO,9/8/17 22:54,98,1.42,-77.4,53.15,0.94
129,Ebolowa,88,CM,9/8/17 22:51,94,2.9,11.15,69.44,2.84
130,Emba,0,CY,9/8/17 22:30,50,34.81,32.42,78.8,4.7
131,Emirdag,0,TR,9/8/17 22:54,52,39.02,31.15,66.92,3.06
132,Empangeni,32,ZA,9/8/17 22:54,84,-28.76,31.89,66.74,4.52
